gtfs,time
gtfs_for_etufor_2019-10.zip,2022-03-31T15:07:37.255305Z
gtfs_for_etufor_2019-10.zip,2022-03-31T15:10:38.354321Z
gtfs_for_etufor_2019-10.zip,2022-03-31T15:11:31.751940Z
gtfs_poa_eptc_2019-06.zip,2022-03-31T15:19:39.188272Z
gtfs_for_etufor_2019-10.zip,2022-04-01T19:38:29.212900Z
gtfs_for_etufor_2019-10.zip,2022-04-01T19:40:24.772516Z
gtfs_for_etufor_2019-10.zip,2022-04-01T19:42:10.787123Z
gtfs_for_etufor_2019-10.zip,2022-04-01T19:49:53.109493Z
gtfs_for_etufor_2019-10.zip,2022-04-01T19:52:18.928700Z
gtfs_for_etufor_2019-10.zip,2022-04-01T19:54:57.661176Z
gtfs_for_etufor_2019-10.zip,2022-04-01T19:57:47.285666Z
gtfs_for_etufor_2019-10.zip,2022-04-01T19:59:34.441664Z
gtfs_for_etufor_2019-10.zip,2022-04-01T20:09:27.685301Z
gtfs_for_etufor_2019-10.zip,2022-04-01T20:12:47.755642Z
gtfs_for_etufor_2019-10.zip,2022-04-01T20:14:03.326113Z
gtfs_for_etufor_2019-10.zip,2022-04-01T20:42:58.196670Z
gtfs_for_etufor_2019-10.zip,2022-04-01T20:44:35.132976Z
gtfs_for_etufor_2019-10.zip,2022-04-01T20:46:53.093613Z
gtfs_for_etufor_2019-10.zip,2022-04-01T20:48:25.887624Z
gtfs_for_etufor_2019-10.zip,2022-04-01T20:49:52.417260Z
gtfs_for_etufor_2019-10.zip,2022-04-01T21:00:40.293766Z
gtfs_for_etufor_2019-10.zip,2022-04-02T00:53:47.846739Z
gtfs_for_etufor_2019-10.zip,2022-04-02T00:55:33.503568Z
gtfs_for_etufor_2019-10.zip,2022-04-02T01:18:23.964841Z
gtfs_spo_bernardo_2020-11.zip,2022-04-02T01:19:53.307964Z
